data_year,criminal_act_id,offense_id
2021,6,172622401
2021,6,172622299
2021,6,172622300
2021,9,174698452
2021,9,172621911
2021,9,172622304
2021,9,173604174
2021,6,173604175
2021,8,172621886
2021,6,172622402
2021,8,172622402
2021,6,172622403
2021,8,172622403
2021,6,172622306
2021,9,176217684
2021,6,172622307
2021,6,172622308
2021,6,172622389
2021,6,172622390
2021,6,172622279
2021,9,172622309
2021,9,172622310
2021,6,172622314
2021,6,172622315
2021,6,172622316
2021,6,172622317
2021,6,172622282
2021,9,172622280
2021,6,172622405
2021,6,172622406
2021,6,172622391
2021,6,172622392
2021,6,172622318
2021,9,172622319
2021,9,172621912
2021,6,172622321
2021,9,172622287
2021,9,172622288
2021,6,172622408
2021,6,172622409
2021,6,172622394
2021,6,172622395
2021,6,172622413
2021,6,172622414
2021,6,172622412
2021,9,172622290
2021,6,172622447
2021,6,172622437
2021,9,172622438
2021,9,172622439
2021,6,172622448
2021,6,172622449
2021,6,172621899
2021,6,172621900
2021,6,172622450
2021,6,172622451
2021,6,172622429
2021,6,172622452
2021,6,172622453
2021,6,172621901
2021,6,172621902
2021,6,172622455
2021,9,172622420
2021,9,172622440
2021,9,172622456
2021,9,172622441
2021,9,172622457
2021,6,172622422
2021,9,172622460
2021,9,172622461
2021,6,172621892
2021,6,172621893
2021,6,172621895
2021,6,172621896
2021,6,172621903
2021,6,172621904
2021,6,172622432
2021,6,172622423
2021,6,172622424
2021,6,172622434
2021,6,172622433
2021,6,172622463
2021,6,172622444
2021,6,172621898
2021,6,172622464
2021,3,172622465
2021,8,172622425
2021,6,172622426
2021,6,172622445
2021,6,172622446
2021,9,172621905
2021,9,172622467
2021,6,172622435
2021,6,172622436
2021,9,171664552
2021,6,171664526
2021,6,171664527
2021,6,171664584
2021,6,171664502
2021,6,171664528
2021,6,171664529
2021,6,171664554
2021,6,171664555
2021,9,173604213
2021,6,171664587
2021,6,171664588
2021,9,174698455
2021,6,171664589
2021,9,173604176
2021,6,173604177
2021,6,173604178
2021,6,171664506
2021,6,171664507
2021,6,171664592
2021,6,171664532
2021,6,171664533
2021,6,171664508
2021,6,171664509
2021,9,171664534
2021,9,173604136
2021,6,171664556
2021,6,171664557
2021,9,171664594
2021,9,171664510
2021,6,171664558
2021,6,171664559
2021,9,173604131
2021,9,171664536
2021,6,171664597
2021,6,171664598
2021,6,171664512
2021,6,171664513
2021,6,179627135
2021,6,171664514
2021,6,171664599
2021,6,171664600
2021,6,179627137
2021,6,179627138
2021,9,171664603
2021,6,171664604
2021,6,171664605
2021,6,171664606
2021,8,171664537
2021,6,171664538
2021,6,171664564
2021,6,171664565
2021,6,171664566
2021,6,171664607
2021,6,171664608
2021,6,171664609
2021,8,171664567
2021,6,171664568
2021,6,171664539
2021,6,171664540
2021,6,171664515
2021,6,171664516
2021,6,171664569
2021,6,171664570
2021,6,171664574
2021,6,171664541
2021,6,171664542
2021,6,179627136
2021,6,171664519
2021,6,171664520
2021,9,171664521
2021,6,171664577
2021,6,171664578
2021,9,171664576
2021,6,171664579
2021,6,171664580
2021,6,171664611
2021,6,171664612
2021,6,171664546
2021,6,171664547
2021,6,171664548
2021,9,173604139
2021,9,173604133
2021,6,173604179
2021,8,173604194
2021,6,173604193
2021,6,173604152
2021,6,173604153
2021,6,173604215
2021,6,173604216
2021,9,173604217
2021,6,173604181
2021,6,173604154
2021,6,173604155
2021,6,173604195
2021,6,173604196
2021,6,173604197
2021,6,173604199
2021,6,173604200
2021,6,173604201
2021,6,173604157
2021,6,173604158
2021,6,173604202
2021,6,173604203
2021,9,173604159
2021,9,173604161
2021,9,173604185
2021,6,173604187
2021,6,173604188
2021,9,173604220
2021,6,173604162
2021,6,173604163
2021,6,173604164
2021,9,174698490
2021,6,173604166
2021,6,173604221
2021,6,173604222
2021,9,174698494
2021,9,174698495
2021,8,173604223
2021,9,174698498
2021,9,176217686
2021,6,174698503
2021,3,174698476
2021,6,173604225
2021,6,173604211
2021,9,179343122
2021,9,174698507
2021,9,173604169
2021,9,179627146
2021,6,173604228
2021,6,173604229
2021,6,173604230
2021,6,173604231
2021,6,173604232
2021,9,173604171
2021,6,174700335
2021,6,174700480
2021,6,174700342
2021,6,174700361
2021,6,174700495
2021,9,179627149
2021,6,177516372
2021,6,177516373
2021,6,174700498
2021,9,174698481
2021,6,174700338
2021,6,174700339
2021,6,174700340
2021,6,174700341
2021,9,176217687
2021,6,174700353
2021,6,174700354
2021,6,174700355
2021,6,174700482
2021,6,174700345
2021,6,174700346
