data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2021,143404583,143240030,7,,
2021,140649457,140023964,7,,
2021,140649465,140023972,6,,
2021,140649466,140023973,6,,
2021,140649461,140023968,6,,
2021,140649467,140023974,8,,
2021,140649464,140023971,6,,
2021,140649463,140023970,6,,
2021,140649462,140023969,6,,
2021,141493909,141005606,6,,
2021,141497178,141009711,7,,
2021,141497177,141009710,7,,
2021,142532355,142228594,6,,
2021,142532356,142228596,6,,
2021,143545798,143403055,7,,
2021,143545800,143403058,4,,
2021,143545801,143403062,7,,
2021,143545799,143403057,6,,
2021,144870518,144954355,7,,
2021,144870522,144954359,7,,
2021,144870521,144954358,7,,
2021,144870520,144954357,7,,
2021,144870517,144954354,4,,
2021,144870519,144954356,4,,
2021,145554063,145734816,6,,
2021,146879550,147281835,4,,
2021,148217174,148839473,3,,
2021,148217175,148839473,7,,
2021,135513276,134173061,6,,
2021,140213933,139508086,4,,
2021,135513274,134173059,6,,
2021,136810214,135612864,7,,
2021,136802786,135605919,6,,
2021,136802785,135605918,6,,
2021,136802783,135605917,5,,
2021,136802784,135605917,7,,
2021,144362236,144353762,6,,
2021,144362238,144353762,7,,
2021,140213935,139508088,6,,
2021,140213934,139508087,6,,
2021,140213932,139508084,6,,
2021,140213931,139508083,6,,
2021,140213929,139508081,7,,
2021,140213928,139508080,6,,
2021,140213927,139508079,6,,
2021,140213930,139508082,6,,
2021,140213926,139508078,6,,
2021,140213924,139508076,6,,
2021,140213925,139508077,6,,
2021,140213923,139508075,6,,
2021,140213922,139508074,6,,
2021,141428320,140925658,6,,
2021,146252716,146532713,7,,
2021,147508126,148012491,7,,
2021,147508125,148012490,7,,
2021,144362738,144354374,5,,
2021,144362739,144354374,7,,
2021,146252713,146532710,6,,
2021,146252715,146532712,7,1,
2021,141733645,141294178,6,,
2021,140365531,139685138,4,,
2021,136583251,135348851,6,,
2021,135710400,134395655,6,,
2021,136583252,135348852,6,,
2021,145915415,146152012,6,,
2021,135710404,134395663,6,,
2021,136585446,135345327,6,,
2021,136583255,135348856,6,,
2021,136583256,135348857,6,,
2021,136583257,135348858,6,,
2021,135710410,134395674,1,,
2021,136583258,135348859,6,,
2021,135710470,134395767,1,,
2021,136585447,135345328,6,,
2021,137716228,136623818,6,,
2021,136585448,135345329,6,,
2021,135710474,134395772,6,,
2021,136583261,135348862,6,,
2021,136583262,135348863,6,,
2021,136583263,135348864,6,,
2021,136583264,135348867,6,,
2021,135710480,134395782,1,,
2021,136583265,135348868,6,,
2021,135710482,134395785,7,,
2021,136583266,135348869,6,,
2021,136583267,135348870,6,,
2021,136583268,135348871,6,,
2021,136583269,135348872,6,,
2021,135710489,134395791,6,,
2021,136583270,135348873,6,,
2021,136583271,135348874,6,,
2021,135710493,134395795,6,,
2021,136583272,135348875,6,,
2021,136585449,135345330,6,,
2021,135709282,134398598,7,,
2021,135710498,134395800,4,,
2021,135709283,134398599,1,,
2021,135710500,134395803,7,,
2021,136583273,135348876,6,,
2021,135710502,134395805,6,,
2021,135710504,134395807,6,,
2021,136585450,135345331,6,,
2021,136583274,135348877,6,,
2021,136583275,135348878,6,,
2021,136583276,135348880,6,,
2021,136583277,135348881,6,,
2021,136585452,135345333,6,,
2021,137716229,136623819,5,,
2021,137716230,136623819,6,,
2021,136583278,135348882,6,,
2021,136585453,135345334,4,,
2021,137716231,136623820,6,,
2021,136585454,135345335,4,,
2021,137716232,136623821,6,,
2021,136583281,135348887,6,,
2021,136585457,135345338,6,,
2021,137716233,136623822,6,,
2021,136585458,135345339,1,,
2021,136583283,135348890,6,,
2021,137716234,136623824,6,,
2021,136583285,135348892,6,,
2021,136585460,135345342,1,,
2021,136585461,135345343,6,,
2021,136583286,135348894,1,,
2021,137716235,136623825,6,,
2021,136585463,135345345,6,,
2021,136583287,135348895,6,,
2021,136585464,135345346,7,,
2021,137716392,136623974,6,,
2021,137716237,136623827,1,,
2021,137716238,136623827,5,,
2021,137716239,136623828,6,,
2021,136583290,135348897,6,,
2021,136583291,135348898,6,,
2021,136583292,135348899,5,,
2021,136583293,135348899,7,,
2021,137716241,136623830,6,,
2021,136583295,135348903,4,,
2021,136583296,135348904,1,,
2021,137716242,136623831,5,,
2021,137716243,136623831,6,,
2021,136583297,135348905,6,,
2021,137716244,136623832,6,,
2021,136585469,135345354,6,,
2021,136583299,135348907,6,,
2021,136583301,135348908,7,,
2021,136583300,135348908,1,,
2021,136583302,135348909,6,,
2021,137716245,136623833,6,,
2021,136583304,135348911,7,,
2021,136585470,135345356,1,,
2021,136583305,135348913,5,,1
2021,136583306,135348913,7,1,
2021,136583307,135348914,6,,
2021,136583308,135348915,6,,
2021,136583309,135348916,6,,
2021,136583311,135348917,4,,
2021,136583310,135348917,1,,
2021,136585472,135345358,7,,
2021,136585473,135345359,7,,
2021,136583312,135348918,6,,
2021,137716246,136623834,6,,
2021,136585474,135345360,6,,
2021,136583314,135348920,6,,
2021,137716247,136623835,4,,
2021,136585476,135345362,6,,
2021,136585475,135345362,1,,
2021,136585477,135345363,1,,
2021,137716248,136623836,6,,
2021,136583323,135348930,6,,
2021,137716249,136623838,6,,
2021,137716250,136623839,6,,
2021,137716251,136623840,6,,
2021,137716252,136623841,7,,
2021,137716253,136623842,7,,
2021,137716254,136623845,7,,
2021,137716255,136623846,6,,
2021,137716256,136623847,4,,
2021,137716257,136623848,7,,
2021,137716258,136623849,4,,
2021,137716259,136623850,6,,
2021,137716260,136623851,6,,
2021,137716261,136623852,6,,
2021,137716262,136623854,6,,
2021,146123266,146388265,6,,
2021,137716264,136623856,6,,
2021,137716265,136623859,1,,
2021,137716266,136623860,1,,
2021,137716267,136623861,6,,
2021,137716268,136623862,7,,
2021,137716270,136623864,6,,
2021,137716271,136623865,6,,
2021,137716272,136623866,6,,
2021,137716273,136623867,6,,
2021,137716274,136623868,6,,
2021,137716275,136623869,6,,
2021,137716276,136623870,6,,
2021,137716277,136623871,6,,
2021,137716278,136623872,6,,
2021,137716279,136623872,7,,
2021,137716280,136623873,4,,
2021,137716281,136623874,4,,
2021,137716282,136623875,7,,
2021,137716283,136623876,7,,
2021,137716284,136623877,6,,
2021,137716393,136623975,7,,
2021,137716287,136623881,4,,
2021,137716288,136623882,6,,
2021,137716289,136623883,6,,
2021,137716290,136623884,6,,
2021,137716394,136623976,6,,
2021,137716395,136623977,6,,
2021,137716396,136623978,6,,
2021,137716397,136623979,4,,
2021,137716398,136623979,6,,
2021,137716400,136623981,6,,
2021,137716401,136623982,7,,
2021,137716403,136623984,6,,
2021,137716404,136623985,7,,
2021,137716405,136623986,7,,
2021,137716406,136623987,1,,
2021,137716407,136623988,7,,
2021,137716408,136623990,6,,
2021,137716409,136623993,6,,
2021,137716410,136623995,1,,
2021,137716411,136623996,7,,
2021,137716412,136623997,6,,
2021,137716413,136623998,7,,
2021,143821096,143718629,6,,
2021,143821086,143718619,6,,
2021,143821099,143718632,6,,
2021,143821097,143718630,7,,
2021,143821125,143718660,4,,
2021,143821098,143718631,6,,
2021,143821100,143718633,6,,
2021,143821114,143718649,4,,
2021,149088998,149837994,1,,
2021,149088999,149837994,6,,
2021,143821087,143718620,6,,
2021,143821126,143718661,6,,
2021,143821101,143718634,6,,
2021,143821138,143718674,4,,
2021,143821102,143718636,5,,
2021,143821103,143718636,7,,
2021,143821115,143718650,6,,
2021,143821116,143718651,7,,
2021,143821127,143718662,6,,
2021,143821117,143718652,6,,
2021,143821088,143718621,4,,
2021,143821089,143718622,7,,
2021,146595666,146946643,1,,
2021,149089000,149837996,6,,
2021,143821090,143718623,6,,
2021,143821128,143718663,6,,
2021,143821091,143718624,4,,
2021,143821092,143718624,7,,
2021,143821129,143718664,6,,
2021,143821105,143718639,6,,
2021,143821130,143718665,6,,
2021,143821106,143718640,7,,
2021,143821131,143718666,7,,
2021,143821107,143718641,6,,
2021,143821108,143718642,6,,
2021,143821109,143718643,6,,
2021,143821093,143718626,6,,
2021,143821084,143718615,6,,
2021,143821118,143718653,6,,
2021,143821110,143718644,6,,
2021,143821119,143718654,7,,
2021,143821132,143718668,6,,
2021,143821120,143718655,6,,
2021,143821133,143718669,4,,
2021,143821111,143718645,6,,
2021,143821121,143718656,5,,
2021,143821122,143718656,7,,
2021,143821081,143718613,7,,
2021,143821094,143718627,7,,
2021,143821095,143718628,6,,
2021,143821134,143718670,6,,
2021,143821112,143718647,4,,
2021,143821135,143718671,7,,
2021,143821136,143718672,6,,
2021,143821123,143718657,6,,
2021,143821137,143718673,6,,
2021,143821124,143718659,6,,
2021,143821113,143718648,6,,
