data_year,victim_id,offense_id
2021,153705065,167965253
2021,153705066,167965253
2021,152412426,166671426
2021,152412427,166671427
2021,152412428,166671427
2021,152412423,166671423
2021,152412429,166671428
2021,152412430,166671429
2021,153705067,167965254
2021,152412432,166671431
2021,153705068,167965255
2021,153705069,167965256
2021,153705069,167965257
2021,153705070,167965258
2021,153705071,167965259
2021,153705073,167965261
2021,153705074,167965262
2021,153705074,167965263
2021,153705075,167965264
2021,150068145,164322708
2021,153705075,167965265
2021,153705072,167965260
2021,150068147,164322712
2021,150068147,164322713
2021,150068148,164322711
2021,153705076,167965266
2021,155066939,169330468
2021,150068146,164322709
2021,150068146,164322710
2021,150068144,164322706
2021,150068144,164322707
2021,155066940,169330468
2021,150068152,164322718
2021,150068152,164322719
2021,155066941,169330468
2021,150068155,164322723
2021,150068155,164322724
2021,153705077,167965267
2021,150068156,164322725
2021,153705078,167965268
2021,153705079,167965268
2021,153705080,167965269
2021,152277706,166534673
2021,153705081,167965270
2021,152277712,166534680
2021,152277712,166534681
2021,153705081,167965271
2021,155066942,169330469
2021,152277709,166534676
2021,155066943,169330470
2021,152277713,166534682
2021,152277713,166534683
2021,155066944,169330471
2021,152277711,166534678
2021,152277711,166534679
2021,155066944,169330472
2021,152277710,166534677
2021,155066944,169330473
2021,156135507,170401286
2021,156135509,170401288
2021,156135510,170401288
2021,156135508,170401287
2021,156135511,170401289
2021,159199587,173481474
2021,157276781,171541295
2021,157276782,171541295
2021,157279494,171544025
2021,157276783,171541296
2021,157276784,171541297
2021,157276785,171541298
2021,157276786,171541299
2021,157276787,171541300
2021,157276788,171541301
2021,157276790,171541303
2021,157276789,171541302
2021,157276791,171541304
2021,163380326,177663899
2021,163380326,177663900
2021,163380327,177663898
2021,163380327,177663899
2021,163380327,177663900
2021,157276792,171541305
2021,157276793,171541306
2021,160214474,174493908
2021,160214475,174493908
2021,157276794,171541307
2021,161584829,175869003
2021,159199601,173481489
2021,159199602,173481488
2021,159199603,173481490
2021,159199598,173481484
2021,159199604,173481491
2021,159199605,173481491
2021,160214476,174493909
2021,159199609,173481495
2021,161584825,175868997
2021,160214478,174493911
2021,160214479,174493912
2021,160214480,174493913
2021,160214480,174493914
2021,160214482,174493916
2021,160214481,174493915
2021,161584831,175869005
2021,163380335,177663908
2021,161584832,175869006
2021,161584835,175869009
2021,161584836,175869010
2021,161584834,175869008
2021,161584833,175869007
2021,163380338,177663912
2021,150240525,164496845
2021,154583149,168847822
2021,150927161,165179383
2021,154583152,168847825
2021,154583150,168847823
2021,158127881,172403049
2021,157168517,171432074
2021,157168516,171432073
2021,157168515,171432072
2021,157168518,171432075
2021,163910471,178194100
2021,163910471,178194101
2021,163910478,178194114
2021,163910478,178194115
2021,163910476,178194110
2021,163910476,178194111
2021,163910472,178194102
2021,163910472,178194103
2021,163910473,178194104
2021,163910473,178194105
2021,152023457,166276463
2021,159868965,174149443
2021,149201969,163462103
2021,149201971,163462105
2021,149201970,163462104
2021,165688501,179990766
