data_year,weapon_id,offense_id,nibrs_weapon_id
2021,41,161640704,
2021,41,161640706,
2021,41,161641550,
2021,38,161640720,
2021,38,161641555,
2021,41,161641561,
2021,41,161641562,
2021,41,163245220,
2021,38,161640733,
2021,41,163245228,
2021,41,164495139,
2021,38,164495143,
2021,41,163245249,
2021,41,161640784,
2021,41,164495147,
2021,41,163252522,
2021,38,161640795,
2021,41,161640807,
2021,21,164495152,
2021,41,163245283,
2021,41,161640821,
2021,21,165946899,
2021,39,161640827,
2021,41,163252530,
2021,41,161640830,
2021,38,164495162,
2021,41,161641642,
2021,41,163252538,
2021,41,163252539,
2021,41,163245306,
2021,41,163245307,
2021,41,163245310,
2021,41,163245315,
2021,41,163252541,
2021,41,164495165,
2021,1,165946902,
2021,41,163252546,
2021,41,163252563,
2021,41,161641672,
2021,41,161640867,
2021,41,161640870,
2021,41,163252568,
2021,41,163252575,
2021,41,161641681,
2021,41,161641686,
2021,41,161641694,
2021,41,163252581,
2021,41,163252582,
2021,41,161641697,
2021,3,164495344,
2021,41,161640893,
2021,41,161640895,
2021,41,161641713,
2021,41,161641715,
2021,41,163252592,
2021,41,164495193,
2021,41,161640907,
2021,41,163252594,
2021,41,164495194,
2021,39,161641727,
2021,41,161640917,
2021,41,161640918,
2021,41,161640921,
2021,41,161641737,
2021,21,163245331,
2021,41,163245334,
2021,41,161641748,
2021,41,163245336,
2021,41,161641752,
2021,41,161641758,
2021,21,163252611,
2021,3,161640966,
2021,41,161641763,
2021,41,161641789,
2021,5,164495268,
2021,41,163245365,
2021,41,161641015,
2021,41,161641016,
2021,1,163245367,
2021,31,163245368,
2021,41,163245368,
2021,41,163245376,
2021,21,165946949,
2021,41,163245398,
2021,41,161641060,
2021,41,163245413,
2021,41,161641090,
2021,41,161641092,
2021,41,163245422,
2021,41,164495301,
2021,41,165946982,
2021,41,161641896,
2021,41,161641897,
2021,41,161641900,
2021,41,163245497,
2021,41,165946966,
2021,41,161641907,
2021,41,161641163,
2021,41,161641909,
